Name,Display Name,Translated Display Name [es],Group,Translated Group [es],Description,Translated Description [es],Success Description,Translated Success Description [es],Failure Description,Translated Failure Description [es],Entry 1,Translated Entry [1],Entry 2,Translated Entry [2],Entry 3,Translated Entry [3],Entry 4,Translated Entry [4],Entry 5,Translated Entry [5],Entry 6,Translated Entry [6],Entry 7,Translated Entry [7]
AliceLab,,,,,,,,,,,Turn off the electric floor.,Apaga el suelo eléctrico.,Stop the mutation process.,Detén el proceso de mutación.,Open the door to Kevin's cage.,Abre la puerta de la jaula de Kevin.,Find the pages in the cage.,Encuentra las páginas en la jaula.,Escape the lab from the slide.,Escapa del laboratorio por el tobogán.,,,,
AliceLunch,,,,,,,,,,,Open the empty classroom.,Abre el aula vacía.,Hide in the pot.,Escóndete en la maceta.,Tell Alice about the pit.,Cuéntale a Alice sobre el pozo.,,,,,,,,
AliceMorningTime,,,,,,,,,,,Pick up your daughter from school.,Recoge a tu hija de la escuela.,Bring your child home.,Lleva a tu hija a casa.,Get a calculator.,Consigue una calculadora.,Do homework with your child.,Haz la tarea con tu hija.,,,,,,
AliceRecess,,,,,,,,,,,Shoot Booboo with the arrow.,Dispara a Booboo con la flecha.,Save Austin from the bunny.,Salva a Austin del conejo.,Run over Booboo.,Atropella a Booboo.,Get Alice from the Alcove,Lleva a Alice desde la Alcoba.,Use the remote to access the lab.,Usa el control remoto para acceder al laboratorio.,,,,
AliceSchoolyard,,,,,,,,,,,Get Alice her diary.,Consigue el diario de Alice.,Get Austin to help Alice.,Haz que Austin ayude a Alice.,,,,,,,,,,
CarlaLunch,,,,,,,,,,,EscapeLunch,Escapa del almuerzo.,UnlockClassroom,Desbloquea el aula.,OpenVent,Abre el conducto de ventilación.,,,,,,,,
CarlaMorningTime,,,,,,,,,,,GrowBeanstalk,Haz crecer la planta de frijol.,GiveJackBook,Dale el libro a Jack.,,,,,,,,,,
CarlaSchoolyard,,,,,,,,,,,Escape from Stevie.,Escapa de Stevie.,,,,,,,,,,,,
CarlaStudyHall,,,,,,,,,,,Escape the library while Carla distracts Stevie and Monty.,Escapa de la biblioteca mientras Carla distrae a Stevie y Monty.,Get the key to the janitor's closet from Mr. Scippio.,Consigue la llave del armario del conserje de parte del Sr. Scippio.,Open the vent in the janitor's closet and return to study hall.,Abre el conducto de ventilación en el armario del conserje y regresa a la sala de estudio.,,,,,,,,
CindyBludgeon,,,,,,,,,,,,,,,,,,,,,,,,
DaveyLunch,,,Davey,Davey,,,,,,,Steal the scalpel from the nurse's office.,Roba el bisturí de la enfermería.,Find a way back into the library.,,Cut the power to the trap door in the principal's office.,,,,,,,,,
DaveyMorningTime,,,Davey,,,,,,,,Get the axe out of the case.,,Find someone to play grandma.,,Find a red sheet.,,Cure Nugget,,,,,,,
DaveyRecess,,,Davey,,,,,,,,Get back inside.,,Get Monty to move.,,Get the axe.,,Get Austin to throw the rock at the window.,,,,,,,
DaveySchoolyard,,,Davey,,,,,,,,Defend Linda's honor by confronting the janitor.,,Ask the teacher to put on the Little Red Riding Hood play.,,Recruit someone to play Little Red. Riding Hood.,,,,,,,,,
EmmyLunch,,,Emmy,,,,,,,,,,,,,,,,,,,,,
EmmyMorningTime,,,Emmy,,,,,,,,Grow the beanstalk.,,Get the blue flowers off the roof.,,Wash the blue flowers.,,Give the blue flowers to Emmy.,,,,,,,
EmmyRecess,,,Emmy,,,,,,,,,,,,,,,,,,,,,
EmmySchoolyard,,,Emmy,,,,,,,,Find Emmy a friend to help with her garden.,,Go check on Emmy.,,Get the watering can from the classroom.,,Give the watering can to Emmy.,,,,,,,
FelixEyes,,,,,,,,,,,,,,,,,,,,,,,,
FelixLunch,,,,,,,,,,,Talk to Janitor.,,Steal flare from Janitor.,,Give phone to Monty.,Dale el teléfono a Monty.,Tell Felix about Janitor.,Dile a Felix sobre el conserje.,,,,,,
FelixMorningTime,,,,,,,,,,,Get teacher out of stall.,Haz que la maestra salga del baño.,Save teacher from burning to death.,Salva a la maestra de quemarse.,Get into the empty classroom.,Entra al aula vacía.,,,,,,,,
FelixSchoolyard,,,,,,,,,,,,,,,,,,,,,,,,
FelixStudyHall,,,,,,,,,,,DistractApplegate,Distrae a Applegate.,Attend group,Asiste al grupo.,Tell Monty he's been betrayed.,Dile a Monty que lo han traicionado.,,,,,,,,
FinalLab2,,,,,,,,,,,Send Birdy.,Envía a Birdy.,Send Booboo.,Envía a Booboo.,Send Bunny.,Envía a Bunny.,Send Guppy.,Envía a Guppy.,Turn on magnet.,Enciende el imán.,,,,
FinalLab3,,,,,,,,,,,Shoot Regis 1,Dispara a Regis 1,Break antigoo 1,Rompe el antigoo 1,Shoot Regis 2,Dispara a Regis 2,Break antigoo 2,Rompe el antigoo 2,,,,,,
FinalLunch,,,,,,,,,,,Use the bird to stop Regis,Usa el pájaro para detener a Regis,Save Nugget,Salva a Nugget,,,,,,,,,,
FinalMorningTime,,,,,,,,,,,Cure Nugget.,Cura a Nugget.,Knock down beepboop.,Derriba a beepboop.,Use Axe on Beepboop,Usa el hacha en Beepboop,Water beep boop,Riega a beep boop,Give core to Monty.,Dale el núcleo a Monty.,,,,
FinalSchoolyard,,,,,,,,,,,,,,,,,,,,,,,,
JanitorLunch,,,Janitor,Conserje,,,,,,,GetKey,Consigue la llave,,,,,,,,,,,,
JanitorMorningTime,,,Janitor,Conserje,,,,,,,GetToiletPaper,Consigue papel higiénico,GetCigarette,Consigue un cigarrillo,Reattach arm.,Vuelve a unir el brazo.,,,,,,,,
JanitorRecess,,,Janitor,Conserje,,,,,,,Place the rabbit on the X,Coloca el conejo en la X,Boop Linda,Hazle boop a Linda,,,,,,,,,,
JanitorSchoolyard,,,Janitor,Conserje,,,,,,,Get the janitor some bandages from the nurse.,Consigue vendas para el conserje de la enfermera.,Retrieve the janitor's arm from Linda.,Recupera el brazo del conserje de Linda.,Retrieve the fish from the classroom.,Recupera el pez del aula.,Talk to Linda about getting the arm back.,Habla con Linda sobre recuperar el brazo.,,,,,,
NuggetLab,,,,,,,,,,,Give Kevin a Nugget,Dale un Nugget a Kevin,Open the cage,Abre la jaula,Summon Linda,Invoca a Linda,Give Linda nugget,Dale un nugget a Linda,,,,,,
NuggetLunch,,,,,,,,,,,Get Lily some fake blood.,Consigue sangre falsa para Lily.,Learn about antidote.,Aprende sobre el antídoto.,Get right antidote for Nugget.,Consigue el antídoto correcto para Nugget.,Get white soda.,Consigue refresco blanco.,Get purple soda.,Consigue refresco morado.,Get yellow soda.,Consigue refresco amarillo.,Get red soda.,Consigue refresco rojo.
NuggetMorningTime,,,,,,,,,,,Get Scippio his flask.,Consigue la cantimplora de Scippio.,Get Nugget cured.,Haz que Nugget se cure.,,,,,,,,,,
NuggetRecess,,,,,,,,,,,Get shovel,Consigue una pala,Give shovel,Entrega la pala,Get nuggets,Consigue nuggets,Dump nuggets,Tira los nuggets,,,,,,
NuggetSchoolyard,,,,,,,,,,,Give Nugget the playbook.,Dale el libro de jugadas a Nugget.,Turn on the shower.,Enciende la ducha.,Go into tree.,Entra en el árbol.,Get rid of Regis.,Deshazte de Regis.,,,,,,
TeacherMorningTime,,,,,,,,,,,GetCrown,Consigue la corona,GetGoo,Consigue goo,GetBouquet,Consigue el ramo de flores,GetGuppy,Consigue a Guppy,,,,,,
TeacherOzRecruit,,,,,,,,,,,Meet Teacher in Library,Reúnete con la maestra en la biblioteca,GetOzBook,Consigue el libro de Oz,RecruitOzActors,Recluta a los actores de Oz,Save Felix,Salva a Felix,RecruitAgnes,Recluta a Agnes,RecruitNugget,Recluta a Nugget,RecruitCindy,Recluta a Cindy
TeacherSchoolyard,,,,,,,,,,,RecruitNugget,Recluta a Nugget,,,,,,,,,,,,
